Título,Empresa,Ubicación,Publicado en,Descripción,Enlace
Desarrollador/a Node SemiSr,Accenture,"Santiago, Chile",Accenture,"WORK AT THE HEART OF THE CHANGE

Emprende una Carrera que te inspire, súmate a nuestra área de Accenture Technology y sé parte del cambio!

“En Accenture vivimos el futuro hoy, porque no solo aplicamos tecnología, la creamos. Aquí construimos el futuro”. Combinemos tu ingenio con las últimas tecnologías y sé parte del impacto positivo que puedes generar.

Te invitamos a abrir las puertas del mundo digital donde podrás desarrollar tu talento para crecer, aprender y certificarte en las tecnologías más avanzadas, proporcionar innovación continua, ágil y participar de nuevos negocios.

Cada día, en todo el mundo, nuestros equipos innovan para crear un cambio significativo. Sé parte de Accenture!

Nos encontramos en búsqueda de profesionales para el role de Desarrollador/a Node.js semi senior

¿Qué funciones tendrá este rol?
• Desarrollar y/o mantener servicios, microservicios y/o integraciones que suplan los requerimientos del proyecto.
• Acompañar al producto o aplicación en cada una de sus fases (Desarrollo, Certificación y puesta en Producción).
• Participar en el diseño de soluciones.
• Estimar y ponderar la complejidad de los desarrollos asignados.
• Participar en desarrollos colaborativos, empleando herramientas para la gestión de versiones.
• Manejar herramientas de CI/CD.
• Diseñar e implementar pruebas unitarias.
• Trabajar bajo metodologías ágiles o tradicionales según requiera el proyecto.
• Generar documentación necesaria.

¿De qué será responsable?
• Adoptar y promover buenas prácticas en cada una de sus funciones.
• Cumplir con estándares altos de calidad aplicando estrategias y herramientas para tal fin.
• Desarrollar código bien diseñado, escrito y testado.",No disponible
Desarrollador FullStack HTML. CSS. JavaScript. VueJS. PHP. WordPress. Python. Dj,Mindy.cl,Anywhere,Chiletrabajos,"Buscamos Desarrollador FullStack:

HTML. CSS. JavaScript. VueJS. PHP. WordPress. Python. Django. MySQL

Para poder gestionar proyectos en el equipo de desarrollo de nuestra Startup.",No disponible
Desarrollador Frontend Semi Senior - Híbrido (Stgo),Imagemaker,"Santiago, Chile",LinkedIn,"Company Description: Imagemaker

Job Description: The Semi Senior Frontend Developer with experience in Node.js, React and SDUI (Server-Driven UI) will be responsible for designing, developing and implementing high-performance, interactive user interfaces and web applications. You are expected to have solid experience with modern frontend frameworks and a deep understanding of frontend architectures, especially those based on SDUI to optimize dynamic content delivery from the server.

The ideal candidate should have 5+ years of frontend development experience, be proactive, have excellent problem solving skills and demonstrate the ability to make technical decisions effectively. In addition, you must be proficient in agile methodologies, apply good development practices and focus on delivering an optimal user experience (UX). The ability to lead technical initiatives, mentor junior developers and collaborate closely with backend and UX/UI design teams is a plus.

Is this role right for you?

Effective design, development, integration, testing and implementation of complex business requirements Applying technological knowledge to the design of models and/or systems, formulating detailed technical designs, investigating, and recommending technical solutions, developing, and delivering applications using agile development methodologies Technical Leadership, Cross Lab Coordination, Production Support and Release Implementation Support.

Skill Set For The Role
• 5+ years of development experience required
• Technical Proficiency in:
• ReactJS, Redux, NodeJS, Webpack, Javascript, Typescript, npm
• Knowledge in development frameworks such as React, Nest JS, Jest and NextJS.
• Use of Design Patterns and good development practices.
• Knowledge and experience in Agile (Scrum) environments.
• Experience in unit testing.
• Knowledge in the use of: Gradle, Git, GitFlow
• Use of Design Patterns, OO and good development practices.
• Very good understanding of current IT practices and software development methodologies such as Scrum and Agile
• Microservices Development or Integration – Familiarity with REST APIs
• Git, Jenkins
• SDUI
• Experience and expertise in all phases of the software development life cycle
• Very good understanding of current IT practices and software development methodologies such as Scrum and Agile

Must Have Skills
• React (Front-end) – 5+ years of hands-on experience
• Node.js (Backend for front-end layer) – 5+ years of hands-on experience

Nice To Have Skills
• Digital Factory
• Agile/Scrum - FI/Banking experience (Scotiabank preferred*)
• Active scotiabank users
• Knowledge of the use of: Jenkins(CI), sonar, Checkmarx, fortify, blackduck
• Experience in the use of application monitoring tools such as Dynatrace, Splunk, etc
• Knowledge of Security Concepts such as SSL, Certificates, Key Store/Trust Store
• BitBucket, JIRA, Confluence

Soft Skills
• Hit the ground running
• Strong communication skills (written & verbal), interacting with Product, Design and Back-end Teams
• Sense of urgency
• Proactivity
• Communication skills
• Removal of impediments
• Innovation
• Solution of unknown problems
• High accountability
• Advanced English

Education
• Bachelor’s Degree or equivalent in Computer Science

Benefits

Ser maker es cool: Tenemos muy buenos beneficios y muchas actividades para divertirnos!

️ Don’t worry, be happy: 3 días libres al año adicionales a tus vacaciones.

Permiso sin goce de sueldo para cumplir tus sueños.

Programa de bienestar enfocado a equilibrar el trabajo y la vida personal.

Seguro Complementario 100% gratuito para Makers.

¡Programas de formación, clases de inglés y mucho más!

Día libre para tu cumpleaños y medio día para los cumpleaños de tus hijos.

Bonificaciones que dan respiros: Fiestas patrias, navidad, matrimonio/AUC, nacimiento/adopción de hijos, etc.

Convenios y precios preferenciales con bancos.

3 Días adicionales para padres por nacimiento o adopción de hijo/a.

Convenio de seguro para tus mascotas!

Nuestra cultura es horizontal, de innovación, desafiante y sobre todo, se respira mucha buena onda!",No disponible
Desarrollador backend de Netsuite,Softtek,Anywhere,LinkedIn,"Desarrollador Backend Netsuite

Habilidades Técnicas Requeridas
• Experiencia con NetSuite (SuiteScript 1.0/2.0, Workflows, Custom Records, Integraciones)
• Lenguajes de Programación: JavaScript (para desarrollo en SuiteScript), SQL
• Conocimientos en ERP
• Experiencia en resolución de incidentes y soporte técnico L3
• Integraciones con APIs y otros sistemas empresariales

Responsabilidades

Mantenimiento L3 (desarrollo) en NetSuite
• Gestión de incidencias y soporte de nivel 3 (L3)
• Desarrollo y corrección de errores en scripts y personalizaciones de NetSuite
• Optimización de procesos y mejoras en la plataforma

Solución de problemas
• Diagnóstico y resolución de problemas técnicos en NetSuite
• Análisis de errores en scripts, integraciones y configuración
• Soporte a usuarios internos y clientes para garantizar la continuidad operativa

Ingles: Intermedio (B1/B2)

Comunicación efectiva (para interacción con clientes y equipos internos)

Habilidades analíticas y de resolución de problemas

Trabajo en equipo y colaboración

Gestión del tiempo y priorización de tareas

Enviar CV al correo: daniela.andrea@gmail.com

Ubicación: Chile

💙 En Softtek creemos en el talento sin etiquetas y promovemos la inclusión conforme a la Ley 21.015 de Chile.",No disponible
Desarrollador BackEnd Node Js,KPaz,Anywhere,LinkedIn,"Somos KPaz, compañía que cuenta con 10 años en el mercado entregando soluciones de Innovación Tecnológica, Pioneros en desarrollos inteligentes, especialistas en transformación digital y líderes en consultoría TI apostando continuamente por el valor y talento de las personas que integran nuestro equipo de trabajo. Nos encontramos en búsqueda de más KPaces que quieran formar parte de nuestro gran equipo.

✔Como DESARROLLADOR BACKEND Te vas a incorporar a un equipo de trabajo dentro de uno de nuestros importantes clientes en Modalidad 100% REMOTO.

⬇⬇ Objetivo del Cargo ⬇⬇

Desarrollar aplicaciones bajo estándares y

arquitectura Backend para nuevas o

mejoras de las aplicaciones.

⬇⬇ Requisitos para el cargo⬇⬇
• BackEnd Node Js
• SQL Server
• Manejo de SQL
• Experiencia con web Service (REST o Soap)

⬇⬇Beneficios de ser un KPaz ⬇⬇
• Seguro de vida
• Seguro complementario de salud
• Reajuste IPC (Semestral)
• Programa de referidos clientes y candidatos
• Programa de capacitación en alianza con Platzi
• Plan de carrera y de Movilidad
• Día de libre por cumpleaños
• Regalos por nacimiento o matrimonio

Requisitos mínimos
• Experiencia de al menos 3 años en Desarrollo BackEnd Node Js",No disponible
Full Stack Developer,Kyndryl Japan,Anywhere,Jobgether,"This a Full Remote job, the offer is available from: Chile

Who We Are

At Kyndryl, we design, build, manage and modernize the mission-critical technology systems that the world depends on every day. So why work at Kyndryl? We are always moving forward – always pushing ourselves to go further in our efforts to build a more equitable, inclusive world for our employees, our customers and our communities.

The Role

Are you passionate about solving complex problems? Do you thrive in a fast-paced environment? Then there’s a good chance you will love being a part of our Software Engineering – Development team at Kyndryl, where you will be able to see the immediate value of your work.

As a Software Engineering - Developer at Kyndryl, you will be at the forefront of designing, developing, and implementing cutting-edge software solutions. Your work will play a critical role in our business offering, your code will deliver value to our customers faster than ever before, and your attention to detail and commitment to quality will be critical in ensuring the success of our products.

Using design documentation and functional programming specifications, you will be responsible for implementing identified components. You will ensure that implemented components are appropriately documented, unit-tested, and ready for integration into the final product. You will have the opportunity to architect the solution, test the code, and deploy and build a CI/CD pipeline for it.

As a valued member of our team, you will provide work estimates for assigned development work, and guide features, functional objectives, or technologies being built for interested parties. Your contributions will have a significant impact on our products' success, and you will be part of a team that is passionate about innovation, creativity, and excellence. Above all else, you will have the freedom to drive innovation and take ownership of your work while honing your problem-solving, collaboration, and automation skills. Together, we can make a difference in the world of cloud-based managed services.

Your Future at Kyndryl
The career path ahead is full of exciting opportunities to grow and advance within the job family. With dedication and hard work, you can climb the ladder to higher bands, achieving coveted positions such as Principal Engineer or Vice President of Software. These roles not only offer the chance to inspire and innovate, but also bring with them a sense of pride and accomplishment for having reached the pinnacle of your career in the software industry.

Who You Are

You’re good at what you do and possess the required experience to prove it. However, equally as important – you have a growth mindset; keen to drive your own personal and professional development. You are customer-focused – someone who prioritizes customer success in their work. And finally, you’re open and borderless – naturally inclusive in how you work with others.

Required Technical and Professional Experience

• 4-5 years of experience working as a software engineer on complex software projects
•Excellent coding skills and solid development experience (Java, Python, .Net etc.) with debugging and problem-solving skills
•Software development methodologies, with demonstrated experience developing scalable and robust software
•Experienced in relational and NoSQL databases, data mapping, XML/JSON, Rest based web services
•Knowledge of architecture design - Microservices architecture, containers (Docker & k8s), messaging queues
•Deep understanding of OOP and Design patterns

Preferred Technical and Professional Experience

•Bachelor's degree in Computer Science, related technical field, or equivalent practical experience
•Certification in one or more of the hyperscalers (Azure, AWS, and Google GCP) - otherwise, you can obtain certifications with Kyndryl
•Experience with DevOps tools and modern engineering practices

Being You

Diversity is a whole lot more than what we look like or where we come from, it’s how we think and who we are. We welcome people of all cultures, backgrounds, and experiences. But we’re not doing it single-handily: Our Kyndryl Inclusion Networks are only one of many ways we create a workplace where all Kyndryls can find and provide support and advice. This dedication to welcoming everyone into our company means that Kyndryl gives you – and everyone next to you – the ability to bring your whole self to work, individually and collectively, and support the activation of our equitable culture. That’s the Kyndryl Way.

What You Can Expect

With state-of-the-art resources and Fortune 100 clients, every day is an opportunity to innovate, build new capabilities, new relationships, new processes, and new value. Kyndryl cares about your well-being and prides itself on offering benefits that give you choice, reflect the diversity of our employees and support you and your family through the moments that matter – wherever you are in your life journey. Our employee learning programs give you access to the best learning in the industry to receive certifications, including Microsoft, Google, Amazon, Skillsoft, and many more. Through our company-wide volunteering and giving platform, you can donate, start fundraisers, volunteer, and search over 2 million non-profit organizations. At Kyndryl, we invest heavily in you, we want you to succeed so that together, we will all succeed.

Get Referred!

If you know someone that works at Kyndryl, when asked ‘How Did You Hear About Us’ during the application process, select ‘Employee Referral’ and enter your contact's Kyndryl email address.

This offer from ""Kyndryl Japan"" has been enriched by Jobgether.com and got a 78% flex score.",No disponible
Developer Fullstack,Kapsch TrafficCom Argentina S.A.,Chile,Workday,"Kapsch is one of Austria's most successful global technology companies. With its comprehensive ITS (Intelligent Transportation Systems) portfolio, Kapsch is actively addressing the challenges of the present and the future with intelligent mobility solutions in a wide range of application areas. As a family-owned company founded in 1892 and headquartered in Vienna, Kapsch can look back on 130 years of experience with the future. We are looking for a Developer Fullstack to join our team! Your responsibilities: Designs, develops, modifies, adapts and implements short- and long-term solutions to information technology (IT) needs through new and existing applications, systems architecture, network systems and applications infrastructure. Reviews system requirements and business processes; codes, tests, debugs and implements software solutions. Solves complex problems; takes a new perspective on existing solutions. Works independently; receives minimal guidance. May lead projects or project steps within a broader project or have accountability for ongoing activities or objectives. Has in-depth knowledge in own area and basic knowledge of related areas. Acts as a resource for colleagues with less experience. May represent the level at which career may stabilize for many years or even until retirement. Your profile: Relevant work experience on back-end developer fundamental skills: .net framework/NET Core (must). Relevant work experience on front-end developer fundamental skills (HTML, React, JQuery, Bootstrap, SASS). Angular/Blazor (plus). Intermediate proficiency in both oral and written English (must). Passion for software programming. Ability to lean new technologies rapidly, research and apply learning’s to daily work. Ability to multitask and prioritize work to meet scope, budget and deadlines. Analytical and commercial mindset, interpersonal, communications and team player skills. Web Development, XML, JSON; SOAP, REST Web services, Webpack, Node, Scss, Git. Systems/Information Technology University (graduated or student) or equivalent experience. Our offer to you: An interesting full-time position within a global renowned family owned company. Excellent work environment. An international working environment. Outstanding benefits. Apply now! Do you want to follow this exciting path with us? Then we look forward to receiving your application. All applications will be strictly confidential.",No disponible
Full Stack React/Ruby On Rails Developer,FullStack Labs,Anywhere,OmniJobs,"FullStack is the fastest-growing software consultancy in the Americas. We help organizations like Uber, GoDaddy, MGM, Siemens, and Stanford University build distributed software development teams, and deliver transformational digital solutions. As an employee-first company, we focus on hiring the most talented software designers and developers in the western hemisphere, by creating a positive, respectful, and supportive work environment where they can achieve their greatest potential.

We’re most proud of:

\*Offering life-changing career opportunities to talented software professionals across the Americas.

\*Building highly-skilled software development teams for hundreds of the world’s greatest companies.

\*Having delivered hundreds of successful custom software solutions, which have positively impacted the lives and careers of millions of users.

\*Our 4.5-star rating on GlassDoor.

\*Our client Net Promoter Score of 68, twice the industry average.

### The Position:

We're looking to hire a Full Stack Developer to join our team. You'll work with our incredible clients in one of two ways:
• _Team Augmentation_: You will integrate yourself directly into our client's team and work alongside their existing designers and engineers on a daily basis.
• _Design & Build:_ You will work on a FullStack Labs product team to build and deliver a product to our clients.

### What We're Looking For:
• 4+ years of professional software development experience.
• Proven experience working with React.
• Proven experience working with Ruby On Rails.
• Advanced English is required.
• Experience working on Agile/Scrum teams.
• Successful completion of a four-year college degree is required.
• Ability to take extreme ownership over your work. Every day is a challenge to ensure you are performing to the expectations you and your team have agreed upon.
• Ability to identify with the goals of FullStack's clients, and dedicate yourself to delivering on the commitments you and your team make to them.
• Ability to consistently work 40 hours per week.

### What We Offer:
• Competitive pay in your local currency.
• 100% remote work.
• The ability to work with leading startups and Fortune 500 companies.
• English Classes.
• Virtual company events each month.
• Ample opportunity for career advancement.
• Continuing education opportunities.
• Depending on your location other benefits may apply.

FullStack is proud to be an equal opportunity workplace. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity, or Veteran status. If you have a disability or special need that requires accommodation, please let us know by completing our Accommodations for Applicants form, which can be provided upon request during our hiring and interview process.

Learn more about our [Applicants Privacy Notice](https://www.fullstacklabs.co/applicants-privacy-notice).

[Apply for this job](https://jobs.lever.co/fullstacklabs/bec36903-4824-44f7-a2f0-3e0c92f5a1f0/apply)",No disponible
Full Stack Drupal Web Developer,Perform,Anywhere,Jobgether,"This a Full Remote job, the offer is available from: Uruguay, Brazil, Dominican Republic, Guatemala, Honduras, Costa Rica, Ecuador, Colombia, Argentina, Chile, Peru

Join our innovative team as a Drupal Web Developer where you'll play a vital role in developing and maintaining dynamic websites using the Drupal CMS platform. We're looking for someone who's passionate about creating robust web solutions and has a strong understanding of Drupal ecosystem, web development standards, and best practices.
Responsibilities
• Develop and maintain custom Drupal websites, modules, and themes.
• Collaborate with design and product teams to implement functional and intuitive web interfaces.
• Ensure the security, scalability, and performance of Drupal sites through best coding practices.
• Maintain and troubleshoot existing web applications, ensuring optimal performance and user experience.
• Participate in code reviews and contribute to the improvement of development processes.
• Stay updated with the latest industry trends and Drupal developments to integrate new technologies and features.

Required Skills and Experience
• Experience in developing websites using Drupal, including custom modules and themes.
• Certified JavaScript Developer (JS, W3S, JSA etc.), Acquia Certified Drupal 10 Developer, Front End and Back End Specialists, Site Builder for Drupal 10
• Proficiency in PHP, HTML, CSS, JavaScript, and other web technologies.
• Experience in PHP Symfony 4/5/6
• Strong understanding of the Drupal theme layer and front-end theming.
• Familiarity with database management systems, specifically MySQL.
• Experience with version control systems like Git for efficient collaboration.
• Problem-solving skills and the ability to work effectively in a team-oriented environment.
• Knowledge of headless CMS concepts and frameworks, such as Decoupled Drupal.
• Experience with Drupal 7/8/9 or 10 and its new features and optimizations.
• Familiarity with modern front-end frameworks like React or Vue.js.

This offer from ""Perform"" has been enriched by Jobgether.com and got a 75% flex score.",No disponible
Talent Community - Full-stack PHP Developer,Scopic,Chile,Jooble,"Join Our Talent Community for Full-stack PHP Developers

A New Way to Connect with Future Opportunities

At Scopic, we're always planning ahead, looking for forward-thinking developers who are ready to take the next step in their careers. Join our Talent Community tailored for Full-stack PHP developers, and gain more than just a chance to apply for a job—you'll become part of a proactive recruitment initiative.

This Is Not Just Another Job Application

Becoming a member of our talent community isn't about filling an immediate vacancy; it's about preparing for future opportunities that fit your skills and career aspirations. Here's what joining means for you:

Advantages for You:

Priority Access to Opportunities:
Gain early and exclusive access to upcoming roles that fit your technical expertise in PHP. This priority access increases your chances of finding the right job at the right time without competing with the general market.

Ongoing Engagement:
Stay informed with regular updates about new projects and potential roles. Our engagement initiatives are designed to keep you connected with our company culture and developments, ensuring you're always prepared for the next opportunity.

Expanded Opportunities:
Enjoy quicker placement processes and less hiring friction. As a community member, you won't be rushed through assessments and interviews. Instead, you'll have the time you need to showcase your skills properly, enhancing your experience with us and ensuring a fit that's right for everyone.

We Are Looking For Developers Who:

5+ years of commercial software development experience
Proficient PHP skills and experience with Laravel, Yii, and or a similar MVC framework
Strong JavaScript skills and experience with React.js
Strong SQL skills. Experience with MySQL/Aurora is a plus
Ability to understand and work with a large existing codebase involving multiple services
Understanding of cloud infrastructure, including scalability and availability patterns such as horizontal scaling, service discovery, etc.
Experience in AWS is a plus
Experience with system integrations is preferred
Willingness to dive into intra-system complexity
Bachelors degree or higher
Intermediate written and spoken English
Overlap with PST working hours is a must

Why This Opportunity Is Right For You:

If you thrive in settings that value long-term relationships and proactive engagement.
If you appreciate an innovative approach to recruitment and employment.
If you are prepared to invest time now to ensure a smoother transition into future roles.

Joining our Talent Community for Full-stack PHP Developers means initiating a dialogue about your future with us. We're eager to learn more about you and to explore how your skills and ambitions can align with our evolving needs.

TERMS OF APPLICATION

By submitting an application;

I consent that the data provided in this form, and the attached CV, will be used for Scopic's recruiting purposes and email communications.
I consent to Scopic conducting an identity verification process as part of the hiring process. I understand that my personal information may be collected and processed for the purpose of verifying my identity in compliance with applicable laws.

Attention Job Seekers: Please be aware that scammers may be fraudulently using our company's name in hiring scams. To ensure your safety, all legitimate communication regarding job opportunities from our company will only come from email addresses ending with scopicsoftware.com or scopicsoftware.hire.trakstar.com. Please exercise caution and report any suspicious activity to our official channels.
Employment Type: Full-Time
Salary: $ 18.00 22.00 Per Hour",No disponible
Full Stack Developer (Java + Apache Camel),Launchpad Technologies Inc.,Anywhere,Jobgether,"This a Full Remote job, the offer is available from: Latin America

Launchpad, a people-first technology company, is a leader in North America´s rapidly growing tech sector. Through two solutions, Launchpad supports its clients with digital transformation:
• PaasportTM, our iPaaS solution, streamlines software integration and automates workflows.
• Nearshore Staff Augmentation, our managed IT staffing service, connects top IT talent across various geographical regions, bringing industry expertise to leading clients.

Based in Vancouver, Canada, our operational footprint spans across North and South America, with a second headquarters in Santiago, Chile.

In 2023, our unwavering dedication to innovation garnered recognition as a Deloitte Technology Fast 50™ Program Company. Our clientele boasts industry leaders such as Walmart, GM, TIME Magazine, Salesforce, Tableau, Splunk, Bolt.com, Freedom House, and more.

At Launchpad, we genuinely care about our people as individuals. If you are looking for a team that values growth, drive, and passion for your craft, if you’re seeking a place to achieve your goals and dreams with fairness and integrity, then we’d love to hear from you.

Why Join The Talent Pool?

This Job Posting is currently part of our “Talent Community”. The ""Talent Community"" is a section in our Careers Site, specially designed to attract and call on all those professionals passionate about technology who aspire to be part of a ""People First Company"" like Launchpad.

Through the notices posted in the Talent Community, which are associated with a series of high-demand positions in the market, you can quickly upload your resume; we assure you that in this way, we can easily find your profile in our database when we have the right opportunity for you. This means that these are not vacancies we are actively working on, but rather a simple way to connect and explore the possibility of working together in the future.

If you are a Full Stack Developer (Java + Apache Camel) and you are interested in working with world-class companies, submit your resume today!

Responsibilities
• Transform the business requirements to well-engineered solutions
• Aim for defect-free programming, create, and maintain quality code, provide support during testing cycles and post-production deployment, engage in peer code reviews.
• Make sure applications are free of common coding vulnerabilities (and follow standard security practices).
• Collaborate effectively with cross geographical teams that include developers, testers, product managers
• Document the solutions to address the requirements
• Evaluate the level of effort required to develop solution
• Positively contribute to the improvement of the team’s quality, efficiency, and capability
• Follow and contribute to your teams’ processes, best practices, methodologies, and guidelines.

Qualifications
• 4+ years of hands-on experience with building secure, scalable, performant, Java/Spring application
• Hands on experience in Apache Camel/Integration including basic routing, error handling, split-aggregate, and dynamic routing
• Strong knowledge of relational database (PostgreSQL) and/or document database Data modeling, data query (SQL)
• Associates degree or equivalent technical experience, a bachelor’s degree is preferred

Preferred Skills
• Knowledge of web services (SOAP, JSON, Rest API)
• Understanding and experience with cloud solution (AWS, Azure, GCP)
• Knowledge of Container technologies – Kubernetes, Docker
• Understanding of DevOPS/CICD pipelines
• Knowledge of JSP, JSF, Angular, React, Struts or similar front-end technologies.

Why Work for Launchpad?
• 100% remote
• People first culture
• Excellent compensation in US Dollars
• Hardware setup for working from home
• Work with global teams and prominent brands based in North America, Europe, and Asia
• Training allowances
• Personal time off (PTO) for vacations, study leave, personal time, etc.
• ...and more!

At Launchpad, we genuinely care about our people as individuals. If you are looking for a team that values growth, drive, and passion for your craft, if you’re seeking a place to achieve your goals and dreams with fairness and integrity, then you are the future of Launchpad. Launchpad is committed to fostering a diverse and representative workforce and an inclusive work environment where all employees are respected and treated equally.

Are you ready to elevate your career at Launchpad? We want to hear your story! Contact us today.

This offer from ""Launchpad Technologies Inc."" has been enriched by Jobgether.com and got a 77% flex score.",No disponible
Full-stack Engineer - Python/React,Listopro,Chile,Dive Into Python,"About The Position

Position Overview

We are seeking a highly skilled and experienced Full Stack Engineer with expertise in Python, React, and PostgreSQL. The ideal candidate will have a proven track record of at least 5 years in full-stack development, demonstrating proficiency in building scalable and efficient web applications.",No disponible
Full Stack Elixir/JavaScript Developer - Remote - Latin America,FullStack Labs,"Concepción, Chile",Jooble,"About FullStack

FullStack is the most transparent IT talent network, connecting highly skilled individuals with top global companies and Silicon Valley startups for remote, on-demand projects. We focus on building a trusted, high-performance network where talent can thrive in a positive, respectful, and supportive environment. By prioritizing transparency, fair opportunities, and professional growth, we empower our engineers to deliver their best work while collaborating with innovative teams worldwide.

We’re Most Proud Of
• Offering life-changing opportunities for talented software professionals across the Americas.
• Enhancing highly-skilled software development teams of hundreds of the world’s greatest companies.
• Our 4.2-star rating on GlassDoor.
• Our client Net Promoter Score of 68, twice the industry average.

The Opportunity

Join our talent network and connect with U.S. clients for flexible, project-based development work as a Fullstack Elixir/Javascript Developer. You will integrate directly into our client's team and work alongside their existing designers and engineers on a daily basis.

What We're Looking For
• 5+ years of professional software development experience.
• 3+ years of experience developing applications using Elixir.
• 3+ years of experience developing applications using JavaScript.
• Advanced English is required.
• Successful completion of a four-year college degree is required.
• Proven experience working with React.
• Proven experience working with Angular.
• Meaningful experience working with CSS.
• Meaningful experience working with HTML.
• Experience designing and implementing automated testing solutions using tools such as Jest and React Testing Library for unit and integration testing.
• Skilled in utilizing Playwright to conduct comprehensive end-to-end testing.
• Strong E-commerce/retail domain knowledge.
• Ability to design systems, or large-scale frontend architecture experience or exposure.
• Ability to work through new and difficult issues and contribute to libraries as needed.
• Ability to create and maintain continuous integration and delivery of applications.
• Forensic attention to detail.
• A positive mindset and a can-do attitude.
• Experience working on Agile / Scrum teams.
• Meaningful experience working on large, complex systems.
• Ability to take extreme ownership over your work. Every day is a challenge to ensure you are performing to the expectations you and your team have agreed upon.
• Ability to identify with the goals of FullStack's clients, and dedicate yourself to delivering on the commitments you and your team make to them.
• Ability to consistently work 40 hours per week.

What We Offer
• Competitive pay.
• 100% remote work.
• The ability to work with leading startups and Fortune 500 companies.
• Continuing education opportunities.
• Opportunity to grow and expand your career.

Our talent network is committed to fostering a diverse, inclusive, and accessible environment where IT professionals can find opportunities that match their skills. We welcome individuals of all races, religions, genders, sexual orientations, national origins, abilities, and experiences. Our focus is on connecting talent with projects based on qualifications, ensuring a fair and transparent process that values diverse perspectives and global collaboration.

Learn more about our Applicants Privacy Notice.
#J-18808-Ljbffr",No disponible
Middle Full Stack Software Engineer,SoftServe,Anywhere,Jobgether,"This a Full Remote job, the offer is available from: Chile

WE ARE

SoftServe is a global digital solutions company headquartered in Austin, Texas, founded in 1993 in Ukraine. Thousands of our associates work on 2,000+ projects with clients in the USA, Europe, and APAC region. We are about people who create bold things, make a difference, have fun, and love their work.

Our client is an online travel company for consumers and small business travelers. They own numerous well-known vacation rental online marketplaces and make 500+ AI predictions a year. 200+ sites have a selection of properties around the world with detailed descriptions.

Our mission is to empower travelers to discover relevant options at every step of their travel journey and become travelers’ must-have partners. We are building intelligent and improved recommendation experiences to facilitate connections between travelers and our partners that truly bring good into the world.

IF YOU ARE
• Proficient Software Engineer with a strong background in back-end development using Java for application design and front-end development leveraging JavaScript and React
• Expertise in Object-Oriented Design principles (SOLID), REST, gRPC, and integration, with a focus on building robust APIs and utilizing JSON libraries like Jackson
• Skilled in developing microservices with frameworks such as Spring Boot
• Adept at testing with JUnit and Mockito
• Knowledgeable about CI/CD tools including Jenkins, Spinnaker, Docker, Maven, Gradle, and Git
• Competent in database design for both RDBMS (MSSQL, SQL Server, MySQL) and NoSQL (MongoDB) systems
• Proficient in using reporting and monitoring tools like Splunk, DataDog, and Grafana
• Familiar with Scrum methodology and experienced in Agile workflows
• Capable of effective communication in conversational and written English (B1+), fostering collaboration in multicultural teams
• Familiar or hands-on experience with cloud platforms, especially AWS, is considered a valuable asset

AND YOU WANT TO
• Join a global team dedicated to supporting a product with a vast customer base
• Provide development services to clients and create solutions that enhance the entire booking process for users
• Contribute to the maintenance and improvement of a company-wide platform
• Engage in all phases of the product development lifecycle
• Develop and design new functionalities to enhance the product
• Work collaboratively with teams across the globe
• Contribute to the development community with best practices and tools
• Create technical documentation

TOGETHER WE WILL
• Work with a diverse team of professionals in a collaborative enterprise environment
• Grow a performant production environment in a way that makes the system increasingly reliable
• Develop top-notch solutions to maintain the client's uniqueness in the market
• Have access to 11,300+ learning solutions with SoftServe University and Udemy Business
• Access local-grown, yet global IT minds and exclusive networking opportunities with expert groups and professional events
• Care for your and your family’s wellness with a health insurance package

SoftServe is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment regardless of race, color, religion, age, sex, nationality, disability, sexual orientation, gender identity and expression, veteran status, and other protected characteristics under applicable law. Let’s put your talents and experience in motion with SoftServe
This offer from ""SoftServe"" has been enriched by Jobgether.com and got a 72% flex score.",No disponible
